,NU_INSCRICAO,NU_NOTA_MT
0,ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,423.605
1,2c3acac4b33ec2b195d77e7c04a2d75727fad723,440.30000000000007
2,f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,569.4539999999998
3,3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,0.0
4,bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,542.98
5,a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,483.73199999999997
6,63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,518.2129999999997
7,2eb189d4912f64b19d1967e8e84b6141aba18770,442.6460000000001
8,5822cb43e0800429be2084b3f86a63aaa73fa66c,485.006
9,94f7e277f87cd58e10a45da4ad5dd168651cf3ef,439.08000000000015
10,3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,0.0
11,6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,0.0
12,70b1dacb515d1aecead8a53cb465a70fda4b62b6,464.2610000000002
13,8570b9be0b2b629d00743d0de77cd95a84a46fbc,592.1350000000001
14,67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,523.1489999999999
15,4e17008781ab3d721804ffe992884f86c37dcb4c,468.8989999999998
16,6118b53a6c928609d5ec78f7b6ae463ee3f766e3,0.0
17,036bce628d802e0da1fc727057dd40e979a03ac3,0.0
18,e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,0.0
19,fa8d39d295f07f351cbff175dcfe01a4cbb49ca3,418.154
20,bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,445.4459999999999
21,5458db66588b99384d711f24a5e77d2befb2bec9,0.0
22,f2dda998a10d8f259dec0018a0a0aefafb66dcf7,0.0
23,fe981a60436f1d9e533a28c67dd66c72290ce7c7,465.41200000000003
24,f08085c95978cded4e8009e734772d2889c6ab1d,638.816
25,2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,430.23800000000006
26,75182e8460c3cae7808fbe4c3475c15e232327dd,558.9310000000002
27,9f1f0f639f56faed5cdb4db727692f9a49f7818b,429.79300000000023
28,45837167deb9a4e1969d5d9bdb31e8bfe7c94017,427.63899999999995
29,e1268d2857278d8ec8055524bc29cc16b5c4174f,0.0
30,b6b8661c6a0867a13e83b584a0468d5e05804128,0.0
31,3982766156703660bd7c9662b663d250a68f2734,443.90700000000004
32,b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,567.8019999999996
33,3b096a7385fbcd24adb5e622db6ec33ad81b711c,457.9309999999999
34,ab01ff1e35bb088cda3ccb34ee11e718cf49961c,505.38800000000015
35,91720b5fe48f70c5f4b21231f265badbb7965923,483.4569999999998
36,3f910c1717d215698a89b7774fae6aae9ce80a9b,465.9610000000001
37,51e2e191d63c9ce01f2474dfef6867d39bde0e22,433.79200000000003
38,160449496c59d74d6efaed45b00fd1802d7b8fe0,439.6749999999996
39,5c90f15a173eb63ffaff1dda01bb41959cea8ade,568.237
40,642546ecc2ac60f7533a50e51b3ced50d438fa2a,471.4719999999999
41,bcca1cc0d5b3005d943cd206eb899d1b0470d118,449.0860000000001
42,80657dbe741b33c3b8aa6627ff05d721fc473535,477.6390000000002
43,c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,453.3029999999997
44,ce018e1ed8c91f329f952c59abec1059d15544fc,0.0
45,15fb3ba785590aea2be363ee1b189f1e0c38d168,421.9280000000001
46,36c49582ac87ab0169f57407a7030d012e19db0f,494.0119999999998
47,272b3de95fdc0983aa22bd9cffa178a3a362ae43,486.3650000000003
48,0a90fb44346e04615bc4879b2769751e65740f7e,508.848
49,45baf0018e09111593b980febba5122c6045203b,435.24999999999994
50,1495c703543bb33d4b2a3a38075e9102541d872d,0.0
51,31640380bd530bb03092038113931fe88235552d,0.0
52,99b9a595ef66afd906ff6cc1924b8aec91d569ac,423.80200000000013
53,89b718d7a23461843c46a4e7e3b44bda0b0152bf,603.1030000000003
54,2811fcc8205f513d44f523a753e74e6cc593a4f9,474.22099999999983
55,777bd9bcb30c7af5ee67f98072e572a304ad0042,481.2880000000001
56,9061a9d12293f7a706455370a3c7db1093a86775,487.568
57,74106591d629e3d8bae3a811a6340f7e31f56ff0,422.73699999999985
58,2c28ebcabc43052f3029141fa6bec9bdef65dae6,425.8480000000001
59,ccb11e219efb77f2d1f773e490e18204b743c531,0.0
60,b7c29a61f67a7b11a811dd41db7f6cc18cee1082,433.625
61,546520198f2a8f443f61687181896c7a91614265,0.0
62,00fad6ffd37a5fcd02b67623b5141406caf0ffc0,0.0
63,3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,0.0
64,79596e863089f8b7f26b24ea161920750fb9ad98,0.0
65,42c347cc2d5a972008ab3fef158bec426fc32d22,439.34600000000023
66,1184e759ab3abac459311e19e2d4f1773bf1bd41,461.0979999999999
67,f102d2cce60240d7c8cc8dcd7e819b81ed724c14,526.2739999999999
68,d11f15d217391ddc98d0007cabc4c21f9438b55b,545.4590000000001
69,75863688688db57afb85d45f3a0f8359b4a3f256,0.0
70,84d341e1ac9c010aa58f782766258ef3f097a6b7,0.0
71,c0971b9328ab9ffaf2054856c98080d6070541ae,424.315
72,a10aff56c82f1bcb0a43c0aca5061901f21a4dac,436.75299999999993
73,a6905d20876982ff0006a442533a58cbb39da4c5,653.993
74,48e9256e4da87667fae37924792e56e197a4dd88,0.0
75,ad810c209e89e9b5e2080eefead70a0f0027c30c,471.963
76,b77d99ff8ee7781a40175b2e1e4dc011e63f1920,541.9480000000001
77,231c9a3c08249643f87ed59301e84e7605b2176f,455.9830000000001
78,dcdfc953208fe59ec5bd9288d5be4fa3300deb89,406.31200000000007
79,4e1c0573b418b839469dab13754968982db53a10,481.735
80,129d6daf0892c79c68c98ea20f8197645b21b221,476.69299999999987
81,626eabd333cba14cb6c0c17b13cc2ab36f9070b4,0.0
82,d1aba323399aba7434327ab725bbc2d5682316bf,453.37800000000016
83,6ce27caca885b1a612477f606ac8d4e98b90d8e5,458.0369999999999
84,272ee225651d10cf558d114ce37c5189da942a62,416.47999999999985
85,4d288c96983da75bb8c3983063becbdb867ace89,447.2319999999998
86,247c20a9befc204fb261300c33ea0cef3f1d0b7d,0.0
87,67a6a095cbc03868169ce24cd9f956d3b7d4d7de,533.6200000000001
88,6169fb11c0c3d6cc7b51edc48b068f948389c40b,471.3039999999998
89,4ee9f9a4b868e701463ca030c0659e2e7935ffcf,415.48400000000004
90,bad54913c91cb3f2993dea3652a90be28570a247,480.03
91,473fac1a473fc1acbb11e9602f39b135a3c9d9aa,483.90800000000013
92,28d46528baddeda8c5c1951536a238d791cfa9f8,415.61900000000014
93,6aea69cd043e47f99f5dc98264805ab85f0b6231,507.9639999999999
94,9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd,438.07600000000025
95,208e05b2a1bb30f66d509e5f53a8e126fecf8d6a,428.35600000000005
96,f02d83027c206dc62f6051b098fe57514a512648,475.0620000000002
97,1a2b323760650526e617eee8e9b74f5accc8677f,601.0149999999999
98,b385375f93bf3c8cd9c1c99d0f136b1d718aafaa,438.4150000000002
99,da368ccf70b742a39fdaed13826c429a393b9b67,0.0
100,f46312530d2396d3e19b4f871c08c69af169e61e,460.4519999999999
101,e57382b06163599199c713cc1547c331bba1a3c5,464.075
102,db3d90f89c29a36e60a2fa1f8312dff684a8c7ca,475.75600000000014
103,6cf3b5ed0cc238c2187d949eb1b4448e980e3da8,429.85899999999987
104,df1637272672a237c36430a25a3167cb50a28bbb,499.9330000000002
105,a7f39916fea1e145dfede35799c94998938c7b50,420.8940000000002
106,ec425f49307805a69a22c5e48a6f7b2375375b61,397.4169999999998
107,9dde22272c72904e4d722d23b2c0f98c59820691,770.9779999999998
108,61a7418ba4149a3d35cf82235c6d775a4167becb,456.59299999999996
109,693e5ddade1cea23d6f3bf9c19be79aa07c458a0,0.0
110,5d409df3b610ca98c29f339a2b9e48965f7dcdd1,534.9089999999998
111,6698841b20a8b8109a62ad87c39b775f9587acd0,0.0
112,5f7acabd799a730469eac13ddb8e05a0d8a84572,0.0
113,a396d9225f5b48b7177827c0f09fc5285674599e,562.454
114,9f3154f46424b7847fcc22640b8de69c4db14ddc,0.0
115,f0877a18e15982d733e9aeca82bbcb2a161917e8,476.7680000000001
116,aa16a27c710933541bedd77943eab6beb6218728,0.0
117,9ff200dba2915df2a66ef68e2705e8aa0d17ad24,436.5289999999999
118,f17bbe8db9aa99451eeac1f52d580a35999d720e,0.0
119,648f9db6808006abd9065a693ab8a8a512551892,410.71700000000004
120,8fef04607c9db1028c9a958e49f3afb2e980c8e0,569.275
121,dd0c57d54e154ae5c01ea4174f4dfe4990ffda07,427.75800000000015
122,5c6dc7f8539bcc91ea9bbf131aac5bcd06292b85,0.0
123,e61f329517670fdd3f308258e43c37fc12642e69,535.2429999999999
124,edb8ce295c9abc8a873f4424d995784b6ff58b0b,415.16499999999985
125,0c5e5107e61c051809c72a731f646ec08b424b93,0.0
126,96e3f5d68c22f8e62852f1123856410d8f8e8e95,470.29400000000004
127,2d3a37f2bafb703f74c57baf12d164e48a36e8ad,494.8729999999998
128,e1511a8e927cc21c5b23587d397789491d1ad916,435.01
129,92282a1d27d299c7bfc377a814e7bd78c0ef3d32,427.596
130,062e3b1fa078e4925a3d4a459bfe966e8a9c768a,442.4969999999999
131,1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb,0.0
132,fb434bfad5c0db89bec493ee50c939fdb02d2f6e,0.0
133,7bec1e065095abd13da928acd485ab71e5eabcfb,566.2589999999999
134,a1619705b57c0be2f9408d4d1fc1db1f065ce13e,0.0
135,bd9c2b0dbe1916a675895666caf69e0df9dd7b22,511.4080000000002
136,251e83c18a0d45019ffefab5461664ce84fbc4fb,413.31399999999996
137,fce4c239420841dddad81c7b85712e1fd6fcd024,0.0
138,d5133b425c6fbeba4173f47f18e6412666646ddd,489.26400000000007
139,861e1d13ac4ee778ad76ff33a93f399004221278,459.6550000000001
140,b2e643a538180ab8bc1868a96a22d48d80c080dd,0.0
